楼盘,具体位置,户型,楼盘状态
首开保利・熙悦林语,[大兴] 南五环与德贤路交叉口东南侧200米(旧忠...,3居/ 4居 － 136~280平米,在售 限竞房 普通住宅 宜居生态地产
国韵村,"[大兴] 南四环榴乡桥南,蒲黄榆路东",国韵村项目均价75000元/�O,在售 普通住宅
文化都汇,[大兴] 新媒体产业基地广阳大街与金苑路交汇处,文化都汇均价32000元/平米,在售 其他 品牌地产 低总价 小户型
和悦华锦,[大兴] 博兴八路与兴海一街交叉口西南侧,3居/ 4居 － 89~135平米,在售 限竞房 花园洋房 低密居所 低总价
一品嘉园,[大兴] 南中轴路魏善庄中学北侧,1居/ 2居/ 3居 － 61~141平米,在售 联排 普通住宅 花园洋房
雅居乐京华雅郡,[大兴] 四海路与合海街交叉口,雅居乐京华雅郡项目开盘时间待定,待售 普通住宅 公园地产
中海云熙,[大兴] 魏善庄镇南中轴龙建路东500米,2居/ 3居 － 76~89平米,在售 普通住宅 花园洋房 品牌地产 国际化社区
棠颂别墅,[大兴] 亦庄南海子公园北侧,5居/ 5居以上 － 360~430平米,在售 别墅 品牌地产 特色别墅 公园地产
兴创荣墅,[大兴] 采育镇采凤路与采辛路交口东侧,3居/ 5居 － 240~430平米,在售 别墅 品牌地产 特色别墅
海晏春秋,[大兴] 地铁8号线瀛海站西300米,4居/ 5居以上 － 202~450平米,在售 别墅 品牌地产 低密居所 特色别墅
北京城建・海梓府・玫瑰墅,[大兴] 亦庄经济开发区博兴西路与泰河二街交叉...,4居/ 5居 － 280~369平米,在售 普通住宅 叠拼
紫禁壹号院,[大兴] 亦庄核心生活区・南海子公园,4居/ 5居 － 285~534平米,在售 别墅 品牌地产
颐�Z万和,[大兴] 地铁4号线义和庄站向北约500米,2居/ 3居/ 4居 － 85~135平米,在售 限竞房 普通住宅 品牌地产 宜居生态地产
金隅・金麟府,[大兴] 博兴八路与兴海一街交叉口西北侧,2居/ 3居/ 4居 － 74~141平米,在售 普通住宅 品牌地产 低密居所 低总价
中海北京世家,[大兴] 亦庄经济技术开发区三海子东路南海子公...,4居/ 5居 － 266~380平米,在售 联排 普通住宅 湖景地产 公园地产
万和斐丽,[大兴] 瀛海镇镇区北街与经二路交口处西南角,1居/ 2居/ 3居 － 60~90平米,在售 合院 限竞房 品牌地产 低总价
金地・悦风华,[大兴] 广阳大街与春和路交口西南,3居 － 130平米,在售 限竞房 普通住宅 品牌地产 配套商品房
鸿坤・林语墅,[大兴] 京开高速西红门出口红绿灯西,4居/ 5居/ 5居以上 － 510~670平米,在售 别墅 品牌地产 现房 公园地产
招商雍合府,"[大兴] 地铁4号线清源路站西侧800米,兴业大街与...",2居/ 3居/ 4居 － 84~131平米,在售 普通住宅 花园洋房 品牌地产 国际化社区
首开保利・熙悦诚郡,[大兴] 南四环榴乡桥与德贤路交汇处东南角,4居 － 156平米,在售 普通住宅 品牌地产
首开龙湖天琅,[大兴] 京台高速黄亦路出口东500米,4居/ 5居 － 436平米,在售 别墅 品牌地产 宜居生态地产 公园地产
中南湾,[大兴] 南大红门路与五福堂路交叉口,2居/ 3居 － 97~135平米,在售 普通住宅
北京经开・汀塘,[大兴] 亦庄经济开发区科创十一街与经海九路交...,2居/ 3居 － 82~92平米,在售 普通住宅
绿地・大兴启航国际,[大兴] 天华大街5号,绿地・大兴启航国际均价23000元/平,在售 标准写字楼 品牌地产
棠颂别墅・�Z庐,[大兴] 亦庄南海子公园东侧,4居 － 250~270平米,在售 别墅 品牌地产 特色别墅 宜居生态地产
天恒世界集,[大兴] 盛坊路一号院,天恒世界集在售价格为：35000元/平方米,在售 其他 品牌地产
中海云筑・御云府,[大兴] 庞各庄桥西1.5公里,3居 － 266平米,在售 别墅 品牌地产 低密居所 特色别墅
首开龙湖・天琅印巷,[大兴] 京台高速黄亦路出口东500米,首开龙湖・天琅印巷总价290万元/套起,在售 住宅底商 品牌地产
金地EOD总部港,[大兴] 广阳大街与盛坊路交汇处,金地EOD总部港项目容积率2.6,在售 企业独栋
金科天宸荟,[大兴] 地铁4号线生物医药基地站南200米路东,金科天宸荟均价45000元/平米,在售 市场类商铺
清城国际中心,[大兴] 4号线黄村西大街站北200米,清城国际中心总价145万/套起,在售 其他
兴创屹墅,[大兴] 新城北区后高路与兴丰大街交汇处东北角,5居 － 470平米,在售 别墅
首开璞�v墅,[大兴] 榆垡镇京开高速(106国道段)东侧、榆垡路...,3居/ 4居/ 5居/ 5居以上 － 333~594平米,在售 别墅 水景地产 公园地产
星光视界中心,[大兴] 西红门镇金西路,星光视界中心均价33000元/平米,在售 标准写字楼
华远和墅,[大兴] 南六环磁各庄桥沿南中轴向南,4居 － 296平米,在售 别墅 品牌地产
兴创国际中心,[大兴] 西红门宏康路与欣宁街交汇处向东100米路...,兴创国际中心均价38000元/平,在售 标准写字楼
东亚・五环国际,[大兴] 地铁五号线延长线旧宫站出口,东亚・五环国际均价52000元/平米,在售 市场类商铺
龙熙庄园,[大兴] 隆华大街55号院,龙熙庄园总价1800-2700万/套,在售 企业独栋 品牌地产 低密居所
海悦旺角,[大兴] 黄村京开高速与黄马路交汇处,1居 － 193~204平米,在售 住宅底商
兴创总部公园,"[大兴] 义和庄地铁站西南侧500米,念坛公园北侧",兴创总部公园 新项目已开盘销售,在售 总部园区 品牌地产
亦城时代广场,[大兴] 亦庄经海四路与科创五街交汇处,亦城时代广场租金4.5元/平米/天,出租 其他 品牌地产 现房 景观居所
鸿坤新都荟,[大兴] 西红门欣荣北街与鸿宏福路交汇东北角,鸿坤新都荟均价55000元/平米,在售 市场类商铺 品牌地产
